Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22.0,TOR,NBA,PG,37,0,7.9,1.1,3.0,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.6,0.818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9
2017-18,23.0,TOR,NBA,PG,76,0,20.0,3.1,7.2,0.426,1.4,3.4,0.414,1.6,3.7,0.437,0.525,1.1,1.3,0.832,0.3,2.1,2.4,3.2,0.9,0.3,1.0,1.7,8.6
2018-19,24.0,TOR,NBA,PG,64,28,27.5,3.8,9.4,0.41,1.8,4.6,0.378,2.1,4.8,0.441,0.503,1.5,1.8,0.843,0.3,2.3,2.6,4.8,0.9,0.3,1.3,1.7,11.0
2019-20,25.0,TOR,NBA,SG,54,54,35.7,5.9,14.3,0.413,2.7,6.9,0.39,3.2,7.4,0.434,0.507,3.1,3.7,0.848,0.3,3.4,3.8,6.6,1.9,0.3,2.2,2.4,17.6
2020-21,26.0,TOR,NBA,SG,52,52,36.5,6.5,16.7,0.389,3.3,9.2,0.366,3.2,7.6,0.416,0.489,3.3,3.7,0.885,0.6,3.6,4.2,6.3,1.7,0.7,1.8,2.3,19.6
2021-22,27.0,TOR,NBA,PG,65,65,37.9,6.8,16.9,0.403,3.7,9.9,0.377,3.1,7.0,0.44,0.513,3.0,3.4,0.874,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.5,20.3
2022-23,28.0,TOR,NBA,PG,69,69,36.7,6.3,16.1,0.393,3.0,8.8,0.342,3.3,7.3,0.455,0.486,3.7,4.1,0.898,0.4,3.6,4.1,7.2,1.8,0.6,2.0,2.8,19.3
Career,,,NBA,,417,268,29.7,4.9,12.2,0.402,2.4,6.4,0.373,2.5,5.8,0.434,0.5,2.4,2.7,0.869,0.4,2.9,3.3,5.3,1.3,0.4,1.7,2.1,14.6
