PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,TEAM,SEASON,TEAM_ID
Alyssa Thomas,31,27.2,11.1,4.2,8.6,48.7,0.0,0.0,0.0,2.7,4.2,63.4,2.0,4.0,6.0,2.3,2.4,1.4,0.2,2.6,-1.8,Connecticut Sun,2016,1611661323
Aneika Morello,10,5.0,1.2,0.5,1.3,38.5,0.0,0.0,0.0,0.2,0.5,40.0,0.4,1.0,1.4,0.2,0.6,0.1,0.1,0.8,-2.7,Connecticut Sun,2016,1611661323
Asia Taylor,4,4.3,3.0,0.8,1.3,60.0,0.0,0.0,0.0,1.5,1.8,85.7,0.5,0.5,1.0,0.8,0.3,0.0,0.0,0.8,2.0,Connecticut Sun,2016,1611661323
Camille Little,33,24.7,7.8,2.9,7.6,38.4,0.9,2.7,32.2,1.1,1.7,63.2,0.8,2.2,3.0,2.0,1.7,1.2,0.3,2.8,-0.8,Connecticut Sun,2016,1611661323
Chiney Ogwumike,33,24.3,12.6,4.8,8.2,58.7,0.0,0.0,0.0,3.0,4.2,71.9,2.7,4.0,6.7,0.7,1.5,1.0,1.0,3.6,-0.2,Connecticut Sun,2016,1611661323
Courtney Williams,19,17.1,8.1,3.5,8.3,42.7,0.4,1.4,30.8,0.6,1.0,57.9,1.4,2.2,3.6,1.5,1.0,0.6,0.2,1.5,4.6,Connecticut Sun,2016,1611661323
Jasmine Thomas,34,32.1,11.7,4.4,10.8,40.8,0.9,3.0,29.7,2.0,2.3,86.1,0.7,3.4,4.1,5.1,2.5,1.3,0.4,2.6,-1.8,Connecticut Sun,2016,1611661323
Jonquel Jones,34,14.1,6.8,2.5,4.7,53.1,0.3,1.0,33.3,1.5,2.0,73.9,1.8,1.9,3.7,0.6,0.7,0.6,1.1,2.1,1.8,Connecticut Sun,2016,1611661323
Kelly Faris,31,10.2,2.0,0.7,1.7,39.6,0.2,0.6,25.0,0.5,0.5,93.3,0.4,0.8,1.2,0.7,0.9,0.7,0.1,1.5,-0.1,Connecticut Sun,2016,1611661323
Kelsey Bone,14,23.8,10.7,4.4,10.1,43.3,0.3,1.1,26.7,1.7,2.6,66.7,1.3,4.1,5.4,1.3,1.9,0.7,0.2,3.1,-9.4,Connecticut Sun,2016,1611661323
Morgan Tuck,26,16.7,7.0,2.6,6.2,41.4,0.7,2.2,30.4,1.2,1.7,71.1,0.9,2.0,2.8,1.1,1.0,0.4,0.1,1.0,1.0,Connecticut Sun,2016,1611661323
Rachel Banham,15,10.9,3.7,1.3,3.3,40.8,0.9,2.5,35.1,0.1,0.2,66.7,0.1,0.7,0.7,0.9,0.5,0.5,0.1,1.3,0.3,Connecticut Sun,2016,1611661323
Shekinna Stricklen,28,10.9,4.0,1.4,3.7,36.5,1.0,2.8,35.1,0.3,0.5,64.3,0.3,1.0,1.4,0.5,0.1,0.4,0.1,0.7,0.1,Connecticut Sun,2016,1611661323
Alex Bentley,31,23.7,8.4,3.2,8.5,38.0,0.7,2.5,27.8,1.2,1.5,80.9,0.1,1.3,1.5,2.9,0.9,0.8,0.1,2.2,1.6,Connecticut Sun,2017,1611661323
Alyssa Thomas,33,29.8,14.8,5.7,11.2,50.9,0.0,0.1,0.0,3.5,6.1,56.7,1.4,5.4,6.8,4.5,3.0,1.6,0.4,3.2,6.5,Connecticut Sun,2017,1611661323
Brionna Jones,23,6.4,2.9,1.0,1.7,57.5,0.0,0.0,0.0,0.9,1.0,83.3,0.7,1.0,1.7,0.1,0.4,0.4,0.1,1.2,1.0,Connecticut Sun,2017,1611661323
Courtney Williams,34,26.0,12.3,5.4,11.5,47.3,0.4,1.1,32.4,1.1,1.2,87.8,1.4,2.9,4.2,2.1,1.4,0.5,0.2,1.6,2.6,Connecticut Sun,2017,1611661323
Danielle Adams,19,4.4,2.6,0.8,2.4,35.6,0.6,1.6,38.7,0.3,0.3,100.0,0.4,0.2,0.6,0.2,0.4,0.2,0.2,1.3,-1.0,Connecticut Sun,2017,1611661323
Feyonda Fitzgerald,2,3.9,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.5,0.0,0.0,0.0,2.5,Connecticut Sun,2017,1611661323
Jasmine Thomas,32,28.2,14.2,5.3,12.7,42.1,1.7,4.2,40.3,1.8,2.3,78.1,0.4,1.9,2.3,4.3,2.4,1.6,0.1,1.6,5.1,Connecticut Sun,2017,1611661323
Jonquel Jones,34,28.5,15.4,5.3,10.0,53.4,0.7,1.6,44.6,4.0,4.9,81.8,3.6,8.2,11.9,1.5,1.7,0.9,1.5,3.4,5.1,Connecticut Sun,2017,1611661323
Jordan Hooper,3,3.5,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,3.3,Connecticut Sun,2017,1611661323
Kayla Pedersen,26,10.2,1.5,0.5,1.3,37.1,0.0,0.0,0.0,0.5,0.7,70.6,0.9,1.4,2.3,0.6,0.4,0.3,0.1,1.5,-1.1,Connecticut Sun,2017,1611661323
Lynetta Kizer,20,11.9,6.0,2.4,5.0,48.0,0.0,0.1,0.0,1.2,1.5,76.7,1.1,1.8,2.9,0.3,0.5,0.6,0.4,1.9,0.1,Connecticut Sun,2017,1611661323
Morgan Tuck,22,16.6,5.4,2.0,5.8,35.4,0.5,1.7,28.9,0.8,1.0,81.0,0.5,1.7,2.2,0.9,1.0,0.4,0.0,1.6,-2.3,Connecticut Sun,2017,1611661323
Rachel Banham,30,9.4,3.3,1.1,3.4,32.7,0.5,1.9,28.1,0.5,0.7,80.0,0.1,1.1,1.1,0.7,0.4,0.1,0.0,0.9,0.7,Connecticut Sun,2017,1611661323
Shekinna Stricklen,34,27.2,8.6,2.8,6.8,41.1,2.1,5.1,41.0,0.9,1.1,86.5,0.5,2.6,3.1,1.1,0.9,1.2,0.1,1.6,2.8,Connecticut Sun,2017,1611661323
Alex Bentley,19,21.7,10.0,3.8,9.6,39.6,1.1,3.6,30.4,1.3,1.6,83.3,0.5,0.9,1.4,3.2,1.6,1.3,0.1,2.3,6.3,Connecticut Sun,2018,1611661323
Alyssa Thomas,24,30.6,10.3,4.1,8.8,46.4,0.0,0.0,0.0,2.2,4.0,54.7,2.0,6.2,8.1,4.2,2.0,1.2,0.4,2.9,8.8,Connecticut Sun,2018,1611661323
Betnijah Laney,29,9.3,2.7,1.1,2.4,47.1,0.0,0.3,11.1,0.3,0.4,90.9,0.7,1.0,1.7,0.7,0.6,0.4,0.0,0.7,2.6,Connecticut Sun,2018,1611661323
Brionna Jones,27,9.0,3.1,1.1,2.4,46.9,0.0,0.0,0.0,0.9,1.2,72.7,0.9,1.1,2.0,0.2,0.6,0.2,0.2,1.4,-0.5,Connecticut Sun,2018,1611661323
Chiney Ogwumike,31,25.5,14.4,5.7,9.4,60.3,0.0,0.1,50.0,3.0,3.8,79.7,2.7,4.6,7.3,1.0,1.6,1.2,0.6,3.4,2.1,Connecticut Sun,2018,1611661323
Courtney Williams,30,27.1,12.6,5.7,12.5,45.6,0.7,1.8,37.7,0.6,0.8,68.0,1.5,4.4,5.9,3.0,1.8,0.8,0.1,1.6,4.0,Connecticut Sun,2018,1611661323
Jasmine Thomas,34,28.1,12.9,4.7,11.8,39.8,1.4,4.4,31.1,2.1,2.4,85.5,0.8,2.5,3.3,4.8,2.5,1.1,0.2,2.1,3.0,Connecticut Sun,2018,1611661323
Jonquel Jones,34,20.5,11.8,4.4,8.0,55.0,1.5,3.1,46.7,1.6,2.3,67.1,2.1,3.4,5.5,1.7,1.6,0.4,1.2,2.9,4.9,Connecticut Sun,2018,1611661323
Layshia Clarendon,15,15.9,5.4,2.1,4.2,49.2,0.0,0.4,0.0,1.3,1.5,82.6,0.5,1.1,1.6,2.7,0.9,0.5,0.0,1.1,3.1,Connecticut Sun,2018,1611661323
Lexie Brown,22,5.6,1.7,0.5,2.0,27.3,0.4,1.3,31.0,0.2,0.3,57.1,0.0,0.7,0.8,0.5,0.5,0.3,0.0,0.5,0.2,Connecticut Sun,2018,1611661323
Morgan Tuck,34,13.6,5.9,2.4,5.0,47.3,0.6,1.9,34.9,0.6,0.7,82.6,0.7,1.6,2.3,0.5,0.7,0.4,0.1,1.2,2.4,Connecticut Sun,2018,1611661323
Rachel Banham,33,12.9,5.2,1.7,4.0,41.4,0.9,2.5,37.0,1.0,1.2,86.8,0.2,0.7,0.9,1.5,0.5,0.5,0.1,1.7,0.4,Connecticut Sun,2018,1611661323
Shekinna Stricklen,34,18.8,6.6,2.3,5.3,43.0,1.7,4.0,43.0,0.4,0.4,85.7,0.3,2.0,2.3,0.5,0.6,0.6,0.1,1.4,0.6,Connecticut Sun,2018,1611661323
Alyssa Thomas,34,30.2,11.6,4.9,9.8,50.5,0.0,0.0,0.0,1.8,3.6,49.6,2.4,5.3,7.8,3.1,2.0,1.9,0.4,2.8,4.9,Connecticut Sun,2019,1611661323
Bria Holmes,34,15.6,6.3,2.3,5.7,39.9,0.6,1.9,31.7,1.1,1.7,67.2,0.3,1.1,1.4,0.9,0.9,0.5,0.2,1.1,-2.3,Connecticut Sun,2019,1611661323
Bridget Carleton,4,7.1,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.3,0.0,0.0,0.5,-2.8,Connecticut Sun,2019,1611661323
Brionna Jones,27,8.4,3.5,1.3,2.8,46.7,0.0,0.0,0.0,0.9,1.3,66.7,1.4,0.8,2.2,0.3,0.7,0.3,0.3,1.3,-2.4,Connecticut Sun,2019,1611661323
Courtney Williams,34,29.1,13.2,5.5,12.6,43.5,0.5,1.0,45.7,1.8,2.2,80.0,1.4,4.1,5.6,3.8,1.6,1.4,0.4,1.4,3.1,Connecticut Sun,2019,1611661323
Jasmine Thomas,34,29.7,11.1,4.1,10.4,39.2,1.3,3.6,36.6,1.6,2.1,80.0,0.6,2.3,2.9,5.1,2.7,1.4,0.1,1.8,4.4,Connecticut Sun,2019,1611661323
Jonquel Jones,34,28.8,14.6,5.1,11.4,44.8,1.3,4.1,30.9,3.2,3.9,81.8,3.3,6.4,9.7,1.5,1.9,1.3,2.0,2.8,6.0,Connecticut Sun,2019,1611661323
Kristine Anigwe,17,7.1,2.0,0.6,2.1,31.4,0.0,0.0,0.0,0.7,1.0,70.6,0.8,0.9,1.8,0.2,0.6,0.4,0.2,1.0,-1.6,Connecticut Sun,2019,1611661323
Layshia Clarendon,9,15.3,6.2,2.0,4.8,41.9,0.2,0.2,100.0,2.0,2.3,85.7,0.8,1.7,2.4,2.1,0.9,0.3,0.0,0.8,-0.2,Connecticut Sun,2019,1611661323
Morgan Tuck,33,10.7,3.7,1.4,3.5,38.8,0.5,1.3,35.7,0.5,0.9,60.0,0.5,1.5,2.0,0.8,0.9,0.4,0.1,1.3,-1.5,Connecticut Sun,2019,1611661323
Natisha Hiedeman,20,10.2,3.7,1.2,2.9,41.4,0.7,1.4,46.4,0.6,1.2,50.0,0.4,1.2,1.5,1.9,0.7,0.4,0.1,1.3,-1.9,Connecticut Sun,2019,1611661323
Rachel Banham,29,12.2,3.6,1.3,4.0,32.2,0.8,2.5,30.6,0.3,0.4,66.7,0.0,1.0,1.0,0.9,0.9,0.3,0.1,1.2,-0.4,Connecticut Sun,2019,1611661323
Shekinna Stricklen,34,23.7,9.0,3.1,7.5,40.8,2.2,5.9,38.2,0.6,0.8,81.5,0.3,1.6,1.9,1.1,0.8,1.0,0.2,2.3,5.3,Connecticut Sun,2019,1611661323
Theresa Plaisance,9,7.1,2.4,0.9,2.6,34.8,0.2,0.7,33.3,0.4,0.4,100.0,0.3,1.4,1.8,0.0,0.1,0.3,0.2,1.3,-3.8,Connecticut Sun,2019,1611661323
Alyssa Thomas,21,32.8,15.5,5.8,11.6,50.0,0.0,0.0,0.0,3.9,5.6,68.6,1.9,7.2,9.0,4.8,2.5,2.0,0.3,2.8,2.7,Connecticut Sun,2020,1611661323
Beatrice Mompremier,21,8.9,2.3,1.0,2.2,42.6,0.0,0.0,0.0,0.4,0.9,44.4,1.5,1.8,3.3,0.1,0.7,0.2,0.6,1.3,-0.8,Connecticut Sun,2020,1611661323
Bria Holmes,18,16.2,4.9,1.9,5.4,35.7,0.6,1.7,33.3,0.4,0.7,66.7,0.7,1.1,1.8,1.1,1.0,0.7,0.3,0.9,-4.2,Connecticut Sun,2020,1611661323
Briann January,13,23.3,5.0,1.7,5.8,29.3,0.8,2.3,36.7,0.8,0.9,83.3,0.3,0.9,1.2,3.4,1.2,0.6,0.2,1.9,6.2,Connecticut Sun,2020,1611661323
Brionna Jones,21,26.1,11.2,4.7,7.7,60.5,0.0,0.0,100.0,1.8,2.6,69.1,2.8,2.8,5.6,1.0,1.6,1.7,0.7,3.1,3.0,Connecticut Sun,2020,1611661323
DeWanna Bonner,22,33.3,19.7,6.7,16.0,42.2,1.2,4.9,25.2,5.0,5.6,89.5,1.5,6.3,7.8,3.0,2.4,1.7,0.5,2.1,2.8,Connecticut Sun,2020,1611661323
Essence Carson,11,11.2,3.2,1.2,3.6,32.5,0.5,1.9,28.6,0.3,0.4,75.0,0.1,1.5,1.5,0.6,0.5,0.4,0.1,1.1,-0.7,Connecticut Sun,2020,1611661323
Jacki Gemelos,6,4.8,1.8,0.7,1.3,50.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.3,0.0,0.8,2.5,Connecticut Sun,2020,1611661323
Jasmine Thomas,19,25.5,10.2,4.0,9.9,40.4,1.1,3.3,33.3,1.1,1.2,91.3,0.2,1.5,1.7,4.0,2.4,1.3,0.3,1.6,3.7,Connecticut Sun,2020,1611661323
Kaila Charles,21,17.9,5.4,1.9,4.6,41.2,0.5,1.4,36.7,1.0,1.5,71.0,1.1,1.5,2.6,0.9,0.9,0.8,0.3,2.1,-0.1,Connecticut Sun,2020,1611661323
Kaleena Mosqueda-Lewis,16,10.2,3.4,1.2,4.0,29.7,0.8,2.9,25.5,0.3,0.4,57.1,0.1,1.3,1.3,0.3,0.4,0.2,0.1,1.1,-5.1,Connecticut Sun,2020,1611661323
Natisha Hiedeman,22,18.6,6.1,2.0,5.8,35.4,1.0,2.9,35.9,1.0,1.4,70.0,0.4,1.5,1.9,1.9,1.1,0.4,0.0,2.0,-3.2,Connecticut Sun,2020,1611661323
Theresa Plaisance,13,7.0,2.5,0.8,2.2,37.9,0.4,1.3,29.4,0.4,0.5,83.3,0.2,0.8,1.0,0.1,0.2,0.4,0.2,1.5,-3.2,Connecticut Sun,2020,1611661323
Aleah Goodman,1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.0,Connecticut Sun,2021,1611661323
Alyssa Thomas,2,17.4,5.5,2.0,7.5,26.7,0.0,0.0,0.0,1.5,2.0,75.0,0.5,4.5,5.0,2.0,1.5,0.5,0.0,2.0,9.0,Connecticut Sun,2021,1611661323
Beatrice Mompremier,32,8.6,1.8,0.8,1.7,49.1,0.0,0.0,0.0,0.2,0.4,41.7,0.9,1.5,2.4,0.2,0.6,0.4,0.3,1.4,-0.7,Connecticut Sun,2021,1611661323
Briann January,29,30.2,7.0,2.4,5.8,42.5,0.9,2.4,38.0,1.1,1.3,86.8,0.3,1.1,1.4,3.1,1.8,0.9,0.1,2.0,9.0,Connecticut Sun,2021,1611661323
Brionna Jones,32,30.6,14.7,6.1,10.6,57.1,0.0,0.1,0.0,2.6,3.2,79.6,3.2,4.2,7.3,1.8,2.2,1.4,0.5,3.0,9.2,Connecticut Sun,2021,1611661323
DeWanna Bonner,32,31.9,15.2,5.0,12.6,39.5,1.4,4.3,31.7,3.9,4.3,89.2,0.7,5.8,6.4,3.4,2.2,1.3,0.7,1.6,8.7,Connecticut Sun,2021,1611661323
DiJonai Carrington,24,9.2,2.8,1.1,3.4,32.9,0.1,0.9,14.3,0.5,0.6,73.3,0.6,1.3,2.0,0.5,0.9,0.5,0.1,1.5,0.5,Connecticut Sun,2021,1611661323
Emma Cannon,5,11.5,4.2,1.6,3.4,47.1,0.8,1.6,50.0,0.2,0.4,50.0,1.0,2.0,3.0,0.8,1.0,0.0,0.2,2.0,-2.8,Connecticut Sun,2021,1611661323
Jasmine Thomas,30,29.6,10.6,3.8,9.8,38.6,1.4,3.5,40.0,1.6,1.9,87.5,0.4,2.0,2.4,4.0,2.2,1.3,0.2,1.8,9.5,Connecticut Sun,2021,1611661323
Jonquel Jones,27,31.7,19.4,7.1,13.8,51.5,1.6,4.3,36.2,3.6,4.5,80.2,2.5,8.7,11.2,2.8,2.9,1.3,1.3,3.1,12.4,Connecticut Sun,2021,1611661323
Kaila Charles,30,16.3,4.3,1.6,4.4,36.8,0.3,1.1,30.3,0.7,0.8,87.5,1.1,1.7,2.8,1.1,0.9,0.5,0.4,2.0,2.7,Connecticut Sun,2021,1611661323
Natisha Hiedeman,32,20.1,7.6,2.4,6.1,40.0,1.6,4.0,39.8,1.1,1.6,70.0,0.2,1.6,1.8,1.9,0.9,0.8,0.2,1.9,2.5,Connecticut Sun,2021,1611661323
Shatori Walker-Kimbrough,1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,Connecticut Sun,2021,1611661323
Stephanie Jones,18,5.5,1.4,0.7,1.6,41.4,0.0,0.1,0.0,0.1,0.1,50.0,0.7,0.6,1.2,0.2,0.2,0.1,0.1,0.5,-1.8,Connecticut Sun,2021,1611661323
Alyssa Thomas,36,32.1,13.4,5.2,10.4,50.0,0.0,0.1,0.0,3.0,4.1,73.0,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8,7.3,Connecticut Sun,2022,1611661323
Bria Hartley,3,12.1,4.7,1.7,3.7,45.5,1.3,2.7,50.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,1.0,0.0,0.7,0.3,Connecticut Sun,2022,1611661323
Brionna Jones,36,25.1,13.8,5.2,9.1,56.9,0.0,0.2,0.0,3.4,4.1,84.4,2.6,2.5,5.1,1.2,1.5,1.2,0.4,2.6,5.5,Connecticut Sun,2022,1611661323
Courtney Williams,34,28.0,11.1,4.9,11.4,42.6,0.6,1.9,33.8,0.8,1.1,75.0,0.9,3.7,4.6,3.3,1.7,1.0,0.4,1.6,6.0,Connecticut Sun,2022,1611661323
DeWanna Bonner,33,30.0,13.5,4.7,10.8,43.9,1.4,4.2,32.9,2.6,3.2,82.7,0.8,4.0,4.7,2.8,1.6,1.2,0.3,1.8,6.1,Connecticut Sun,2022,1611661323
DiJonai Carrington,36,17.5,6.8,2.3,5.6,41.4,0.5,1.7,30.6,1.6,2.1,75.0,1.1,2.1,3.1,1.1,1.6,0.8,0.1,1.9,2.7,Connecticut Sun,2022,1611661323
Jasmine Thomas,5,21.8,6.6,1.6,6.0,26.7,1.0,2.6,38.5,2.4,2.6,92.3,0.4,1.8,2.2,3.0,1.4,0.6,0.2,1.4,6.8,Connecticut Sun,2022,1611661323
Jazmine Jones,7,6.2,0.9,0.3,1.0,28.6,0.0,0.3,0.0,0.3,0.7,40.0,0.0,0.1,0.1,0.1,0.4,0.3,0.0,0.7,-4.0,Connecticut Sun,2022,1611661323
Jonquel Jones,33,26.4,14.6,5.3,10.4,51.3,1.2,3.4,36.9,2.7,3.4,80.2,2.6,6.0,8.6,1.8,2.6,1.1,1.2,2.7,7.7,Connecticut Sun,2022,1611661323
Joyner Holmes,26,7.9,2.0,0.7,2.3,31.1,0.2,0.8,22.7,0.4,0.5,76.9,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8,-1.6,Connecticut Sun,2022,1611661323
Kiana Williams,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Connecticut Sun,2022,1611661323
Natisha Hiedeman,36,25.0,9.1,3.3,7.6,43.1,1.9,4.7,41.1,0.7,0.8,80.0,0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8,6.4,Connecticut Sun,2022,1611661323
Nia Clouden,28,8.9,2.1,0.6,1.9,34.0,0.4,1.0,41.4,0.4,0.6,58.8,0.1,0.8,0.8,0.8,0.4,0.2,0.0,0.9,0.4,Connecticut Sun,2022,1611661323
Odyssey Sims,5,18.2,5.8,2.0,6.0,33.3,0.6,2.2,27.3,1.2,1.2,100.0,0.2,1.0,1.2,2.6,1.4,1.4,0.0,1.4,2.4,Connecticut Sun,2022,1611661323
Stephanie Jones,2,4.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.5,Connecticut Sun,2022,1611661323
Yvonne Anderson,11,9.2,3.2,1.1,2.4,46.2,0.4,0.9,40.0,0.6,0.6,100.0,0.3,0.5,0.8,1.1,1.0,0.3,0.2,1.3,0.4,Connecticut Sun,2022,1611661323
Alyssa Thomas,16,36.9,14.6,5.5,12.4,44.2,0.0,0.0,0.0,3.6,4.9,73.1,2.3,8.2,10.4,8.0,2.8,2.1,0.4,2.6,6.0,Connecticut Sun,2023,1611661323
Brionna Jones,13,31.7,15.9,6.2,10.8,57.1,0.2,0.3,50.0,3.5,4.5,77.6,3.2,5.0,8.2,2.4,2.2,1.8,0.5,4.1,5.1,Connecticut Sun,2023,1611661323
DeWanna Bonner,16,29.3,17.6,5.8,13.9,41.9,1.9,5.6,34.8,4.1,4.9,83.3,0.9,3.9,4.8,2.0,1.3,1.1,0.6,1.5,5.6,Connecticut Sun,2023,1611661323
DiJonai Carrington,14,16.0,8.6,3.0,6.7,44.7,0.8,1.9,40.7,1.8,2.1,86.2,0.9,2.0,2.9,1.2,1.0,0.6,0.1,2.0,5.0,Connecticut Sun,2023,1611661323
Lauren Cox,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,Connecticut Sun,2023,1611661323
Leigha Brown,9,4.0,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.2,50.0,0.2,0.3,0.6,0.3,0.2,0.0,0.1,1.0,-2.7,Connecticut Sun,2023,1611661323
Liz Dixon,2,3.3,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-1.5,Connecticut Sun,2023,1611661323
Natisha Hiedeman,16,28.4,8.1,3.0,9.1,33.1,1.3,4.5,27.8,0.9,1.2,73.7,0.1,2.1,2.3,3.4,1.8,0.9,0.1,2.4,5.5,Connecticut Sun,2023,1611661323
Olivia Nelson-Ododa,16,10.7,3.4,1.2,1.9,61.3,0.0,0.0,0.0,1.1,1.7,63.0,0.7,1.6,2.3,0.6,0.8,0.5,0.8,1.5,1.0,Connecticut Sun,2023,1611661323
Rebecca Allen,16,16.7,4.6,1.6,4.3,36.8,1.0,2.6,39.0,0.4,0.6,77.8,0.6,1.8,2.4,0.5,0.8,0.4,1.1,1.8,1.4,Connecticut Sun,2023,1611661323
Tiffany Hayes,16,24.5,10.8,3.9,8.3,46.6,1.1,3.0,37.5,1.9,2.5,75.0,0.6,2.4,3.1,2.6,1.1,0.8,0.1,2.8,1.3,Connecticut Sun,2023,1611661323
Tyasha Harris,16,12.7,4.1,1.6,4.3,38.2,0.6,1.7,33.3,0.3,0.4,66.7,0.2,0.8,1.0,1.0,1.1,0.5,0.1,0.7,1.0,Connecticut Sun,2023,1611661323
Arike Ogunbowale,15,37.2,22.4,7.8,19.8,39.4,2.7,8.9,30.8,4.1,4.7,85.9,0.5,2.6,3.1,4.3,2.9,1.6,0.2,2.9,2.0,Dallas Wings,1997,1611661321
Ashley Joens,8,1.7,0.3,0.1,0.5,25.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.1,0.0,0.0,-1.8,Dallas Wings,1997,1611661321
Awak Kuier,15,7.9,1.3,0.5,1.5,31.8,0.0,0.5,0.0,0.4,0.5,75.0,0.3,1.1,1.5,0.4,0.3,0.2,0.6,0.7,1.5,Dallas Wings,1997,1611661321
Crystal Dangerfield,11,28.5,8.8,3.4,7.5,45.1,1.1,3.1,35.3,1.0,1.3,78.6,0.6,2.5,3.1,2.9,1.0,0.8,0.2,1.6,-1.9,Dallas Wings,1997,1611661321
Jasmine Dickey,14,6.2,2.1,0.9,2.4,38.2,0.0,0.1,0.0,0.2,0.4,50.0,0.5,0.3,0.8,0.1,0.4,0.3,0.1,1.1,0.6,Dallas Wings,1997,1611661321
Kalani Brown,12,21.2,7.9,2.8,5.4,52.3,0.0,0.0,0.0,2.3,2.8,79.4,2.8,4.3,7.2,1.1,1.9,0.4,1.0,2.8,-3.7,Dallas Wings,1997,1611661321
Maddy Siegrist,15,8.0,2.9,1.2,2.8,42.9,0.1,0.5,28.6,0.4,0.5,85.7,1.0,0.7,1.7,0.1,0.2,0.3,0.2,0.9,0.7,Dallas Wings,1997,1611661321
Natasha Howard,15,33.0,16.8,6.5,15.3,42.4,1.2,4.1,29.0,2.7,2.9,93.0,2.4,5.4,7.8,1.5,2.7,1.1,1.3,3.6,-0.6,Dallas Wings,1997,1611661321
Odyssey Sims,4,20.9,4.8,2.0,5.8,34.8,0.3,1.5,16.7,0.5,1.5,33.3,0.3,1.5,1.8,5.8,1.5,0.5,0.0,1.8,6.3,Dallas Wings,1997,1611661321
Satou Sabally,15,34.4,18.6,6.1,14.9,41.3,1.7,5.5,30.5,4.7,5.1,92.1,2.7,7.3,10.1,3.5,2.9,1.5,0.3,3.6,0.7,Dallas Wings,1997,1611661321
Teaira McCowan,5,23.0,8.2,3.2,6.6,48.5,0.0,0.2,0.0,1.8,2.4,75.0,2.8,5.2,8.0,0.2,1.8,0.8,1.2,3.6,9.4,Dallas Wings,1997,1611661321
Veronica Burton,15,21.6,3.1,0.8,3.1,25.5,0.5,1.8,25.9,1.0,1.1,93.8,0.7,1.9,2.6,3.3,0.7,1.1,0.5,2.1,-3.3,Dallas Wings,1997,1611661321
Aneta Kausaite,10,5.7,1.4,0.5,2.0,25.0,0.0,0.2,0.0,0.4,0.7,57.1,0.8,0.3,1.1,0.1,0.3,0.3,0.0,0.4,0.0,Dallas Wings,1998,1611661321
Angela Hamblin,6,4.8,1.0,0.3,1.3,25.0,0.2,0.3,50.0,0.2,0.3,50.0,0.3,0.8,1.2,0.3,1.2,0.2,0.0,0.7,0.8,Dallas Wings,1998,1611661321
Carla Boyd,30,27.3,8.2,3.0,8.7,34.2,0.6,2.1,30.2,1.6,2.5,63.2,1.7,2.2,3.9,2.3,1.7,0.9,0.3,2.9,2.1,Dallas Wings,1998,1611661321
Cindy Brown,30,32.3,11.8,4.2,8.9,47.0,0.7,2.0,32.8,2.7,3.9,70.7,2.3,7.7,10.0,1.8,2.2,1.7,0.7,3.5,2.4,Dallas Wings,1998,1611661321
Gergana Branzova,26,7.8,2.7,1.1,2.5,44.6,0.0,0.2,0.0,0.4,0.8,55.0,0.5,1.1,1.6,0.3,0.8,0.1,0.2,1.6,-2.2,Dallas Wings,1998,1611661321
Korie Hlede,27,33.8,14.1,5.0,12.8,39.1,1.1,2.7,39.2,3.1,3.8,80.6,1.4,3.8,5.2,2.7,3.3,0.8,0.0,2.4,1.4,Dallas Wings,1998,1611661321
Lynette Woodard,27,14.1,3.5,1.3,3.4,38.7,0.0,0.0,0.0,0.9,1.5,57.5,1.1,1.3,2.4,0.8,1.1,0.8,0.1,1.2,-2.3,Dallas Wings,1998,1611661321
