Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,LAL,NBA,PG,22.0,0.0,5.5,0.2,1.5,0.152,0.0,0.4,0.0,0.2,1.1,0.2,0.152,0.4,0.7,0.6,0.4,0.7,1.1,0.7,0.4,0.2,0.3,0.4,0.9
2019-20,20.0,WAS,NBA,SF,66.0,49.0,18.9,1.8,3.5,0.504,0.4,1.1,0.352,1.4,2.5,0.571,0.558,1.0,1.3,0.812,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5.0
2020-21,21.0,WAS,NBA,SF,40.0,8.0,10.8,0.8,2.0,0.37,0.3,1.2,0.277,0.4,0.9,0.5,0.451,0.1,0.2,0.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2.0
2021-22,22.0,TOR,NBA,SF,15.0,0.0,4.6,0.2,0.9,0.231,0.1,0.3,0.25,0.1,0.6,0.222,0.269,0.3,0.5,0.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8
Career,,,NBA,,143.0,57.0,13.1,1.1,2.5,0.432,0.3,0.9,0.3,0.8,1.6,0.506,0.486,0.6,0.8,0.759,0.7,1.5,2.2,0.8,0.5,0.3,0.6,1.7,3.1
