Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,22.0,BOS,NBA,PG,11.0,1.0,10.8,1.3,4.5,0.286,0.4,2.2,0.167,0.9,2.3,0.4,0.327,0.7,0.7,1.0,0.0,1.1,1.1,1.5,0.9,0.2,1.4,1.2,3.6
2020-21,23.0,BOS,NBA,PG,26.0,3.0,9.2,1.3,3.2,0.405,0.6,1.5,0.395,0.7,1.8,0.413,0.494,0.6,0.7,0.941,0.2,0.6,0.8,2.4,0.6,0.0,1.0,0.7,3.8
2021-22,24.0,TOT,NBA,PG,3.0,0.0,16.7,1.3,4.7,0.286,0.7,3.0,0.222,0.7,1.7,0.4,0.357,0.0,0.0,,0.0,1.3,1.3,2.3,1.7,0.0,1.3,1.3,3.3
2021-22,24.0,TOR,NBA,PG,2.0,0.0,21.0,1.5,6.0,0.25,1.0,4.5,0.222,0.5,1.5,0.333,0.333,0.0,0.0,,0.0,2.0,2.0,3.5,2.0,0.0,2.0,1.0,4.0
2021-22,24.0,WAS,NBA,PG,1.0,0.0,8.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
Career,,,NBA,,40.0,4.0,10.2,1.3,3.7,0.354,0.5,1.8,0.296,0.8,1.9,0.408,0.425,0.6,0.6,0.96,0.1,0.8,0.9,2.1,0.8,0.1,1.2,0.9,3.7
