Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,22.0,TOR,NBA,SG,72.0,4.0,16.8,2.8,6.1,0.456,1.3,3.4,0.388,1.5,2.7,0.541,0.564,0.7,0.8,0.864,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5
2020-21,23.0,TOT,NBA,SG,61.0,4.0,17.6,3.2,7.5,0.428,1.6,4.4,0.367,1.6,3.1,0.513,0.535,0.7,0.9,0.818,0.3,2.2,2.5,1.4,0.7,0.2,1.0,1.6,8.7
2020-21,23.0,TOR,NBA,SG,34.0,4.0,14.5,2.6,6.2,0.414,1.3,3.6,0.361,1.3,2.6,0.489,0.519,0.5,0.5,0.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9
2020-21,23.0,SAC,NBA,SG,27.0,0.0,21.5,4.0,9.1,0.439,2.0,5.4,0.372,2.0,3.7,0.535,0.549,1.1,1.4,0.784,0.4,2.9,3.3,1.7,1.0,0.3,1.3,1.8,11.1
2021-22,24.0,SAC,NBA,SG,30.0,11.0,17.9,3.8,8.9,0.423,1.6,5.0,0.329,2.1,3.9,0.542,0.515,1.2,1.5,0.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4
2022-23,25.0,SAC,NBA,SG,64.0,5.0,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1.0,1.9,0.537,0.545,0.5,0.7,0.791,0.3,1.9,2.2,1.0,0.7,0.2,0.8,1.6,6.7
Career,,,NBA,,227.0,24.0,16.1,2.9,6.7,0.434,1.5,4.0,0.366,1.5,2.7,0.532,0.542,0.7,0.9,0.826,0.4,2.3,2.7,1.3,0.7,0.2,1.0,1.7,8.0
