PLAYER,GP,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPs,%PTS FT,%PTS OffTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST,TEAM,SEASON,TEAM_ID
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,1997,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,1997,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,1997,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,1997,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,1997,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,1997,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,1997,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,1997,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,1997,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,1997,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,1997,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,1997,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,1997,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,1998,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,1998,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,1998,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,1998,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,1998,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,1998,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,1998,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,1998,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,1998,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,1998,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,1998,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,1998,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,1998,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,1999,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,1999,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,1999,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,1999,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,1999,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,1999,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,1999,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,1999,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,1999,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,1999,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,1999,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,1999,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,1999,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2000,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2000,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2000,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2000,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2000,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2000,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2000,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2000,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2000,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2000,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2000,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2000,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2000,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2001,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2001,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2001,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2001,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2001,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2001,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2001,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2001,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2001,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2001,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2001,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2001,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2001,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2002,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2002,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2002,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2002,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2002,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2002,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2002,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2002,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2002,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2002,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2002,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2002,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2002,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2003,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2003,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2003,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2003,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2003,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2003,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2003,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2003,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2003,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2003,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2003,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2003,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2003,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2004,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2004,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2004,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2004,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2004,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2004,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2004,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2004,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2004,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2004,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2004,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2004,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2004,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2005,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2005,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2005,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2005,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2005,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2005,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2005,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2005,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2005,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2005,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2005,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2005,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2005,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2006,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2006,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2006,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2006,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2006,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2006,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2006,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2006,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2006,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2006,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2006,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2006,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2006,1611661330
Aari McDonald,5,28.7,47.4,52.6,26.7,0.0,60.0,26.7,13.3,16.7,26.7,50.0,50.0,83.3,16.7,70.0,30.0,Atlanta Dream,2007,1611661330
Allisha Gray,13,32.4,78.5,21.5,56.5,9.6,15.7,17.0,27.8,10.9,47.0,63.1,36.9,91.7,8.3,67.5,32.5,Atlanta Dream,2007,1611661330
Asia (AD) Durr,13,14.8,63.4,36.6,53.3,17.8,30.0,18.9,16.7,20.0,35.6,33.3,66.7,100.0,0.0,51.5,48.5,Atlanta Dream,2007,1611661330
Cheyenne Parker,13,27.2,87.7,12.3,71.8,9.6,8.6,9.1,19.6,17.7,62.2,62.7,37.3,100.0,0.0,65.4,34.6,Atlanta Dream,2007,1611661330
Danielle Robinson,5,14.4,78.3,21.7,59.3,14.8,33.3,7.4,7.4,22.2,44.4,50.0,50.0,100.0,0.0,63.6,36.4,Atlanta Dream,2007,1611661330
Haley Jones,13,21.9,82.4,17.6,64.6,12.3,18.5,10.8,16.9,15.4,52.3,19.0,81.0,100.0,0.0,32.0,68.0,Atlanta Dream,2007,1611661330
Laeticia Amihere,7,7.8,93.3,6.7,53.8,0.0,0.0,7.7,46.2,11.5,53.8,57.1,42.9,0.0,0.0,57.1,42.9,Atlanta Dream,2007,1611661330
Lorela Cubaj,3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlanta Dream,2007,1611661330
Monique Billings,12,14.7,97.7,2.3,64.2,15.1,0.0,28.3,35.8,39.6,49.1,70.6,29.4,0.0,0.0,70.6,29.4,Atlanta Dream,2007,1611661330
Naz Hillmon,13,15.5,97.6,2.4,71.9,6.3,0.0,3.1,28.1,15.6,65.6,69.6,30.4,0.0,0.0,69.6,30.4,Atlanta Dream,2007,1611661330
Nia Coffey,13,20.6,50.8,49.2,35.3,8.8,57.4,11.8,7.3,17.6,26.5,58.3,41.7,100.0,0.0,80.0,20.0,Atlanta Dream,2007,1611661330
Rhyne Howard,13,31.7,54.4,45.6,36.1,15.7,41.7,9.3,22.2,17.1,20.4,33.3,66.7,80.0,20.0,53.6,46.4,Atlanta Dream,2007,1611661330
Taylor Mikesell,5,5.4,30.0,70.0,23.5,0.0,52.9,0.0,23.6,29.4,23.5,0.0,100.0,100.0,0.0,60.0,40.0,Atlanta Dream,2007,1611661330
Alison Bales,17,22.9,95.9,4.1,70.7,24.4,3.7,0.0,25.6,18.3,46.3,65.5,34.5,100.0,0.0,66.7,33.3,Atlanta Dream,2008,1611661330
Ann Strother,21,7.6,44.1,55.9,25.6,15.4,53.8,12.8,20.6,7.7,10.3,60.0,40.0,100.0,0.0,83.3,16.7,Atlanta Dream,2008,1611661330
Betty Lennox,34,29.7,64.7,35.3,48.4,26.2,31.8,11.1,19.8,18.2,22.2,27.8,72.2,79.4,20.6,43.5,56.5,Atlanta Dream,2008,1611661330
Camille Little,13,17.0,80.0,20.0,54.8,9.7,19.4,8.1,25.8,21.0,45.2,70.6,29.4,100.0,0.0,76.2,23.8,Atlanta Dream,2008,1611661330
Chioma Nnamaka,12,7.0,57.7,42.3,50.0,25.0,37.5,0.0,12.5,18.8,25.0,75.0,25.0,100.0,0.0,83.3,16.7,Atlanta Dream,2008,1611661330
Erika de Souza,12,23.1,100.0,0.0,85.7,3.6,0.0,7.1,14.3,17.9,82.1,64.6,35.4,0.0,0.0,64.6,35.4,Atlanta Dream,2008,1611661330
Ivory Latta,34,28.2,53.4,46.6,35.6,5.7,42.5,14.2,21.9,24.7,29.9,14.5,85.5,56.4,43.6,33.1,66.9,Atlanta Dream,2008,1611661330
