,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021400011,4,202389,Timofey Mozgov,1610612743,Denver Nuggets,1,11,25,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,244,-6,1,0,20141029,DEN,DET
1,Shot Chart Detail,0021400011,5,202702,Kenneth Faried,1610612743,Denver Nuggets,1,11,23,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20141029,DEN,DET
2,Shot Chart Detail,0021400011,8,202702,Kenneth Faried,1610612743,Denver Nuggets,1,10,55,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20141029,DEN,DET
3,Shot Chart Detail,0021400011,11,202389,Timofey Mozgov,1610612743,Denver Nuggets,1,10,31,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141029,DEN,DET
4,Shot Chart Detail,0021400011,19,201167,Arron Afflalo,1610612743,Denver Nuggets,1,9,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,132,-10,1,0,20141029,DEN,DET
5,Shot Chart Detail,0021400011,17,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,181,66,1,0,20141029,DEN,DET
6,Shot Chart Detail,0021400011,22,202389,Timofey Mozgov,1610612743,Denver Nuggets,1,9,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20141029,DEN,DET
7,Shot Chart Detail,0021400011,27,201951,Ty Lawson,1610612743,Denver Nuggets,1,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,45,238,1,0,20141029,DEN,DET
8,Shot Chart Detail,0021400011,31,202702,Kenneth Faried,1610612743,Denver Nuggets,1,8,10,Missed Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,34,1,0,20141029,DEN,DET
9,Shot Chart Detail,0021400011,34,202389,Timofey Mozgov,1610612743,Denver Nuggets,1,7,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,97,145,1,0,20141029,DEN,DET
10,Shot Chart Detail,0021400011,47,201167,Arron Afflalo,1610612743,Denver Nuggets,1,7,19,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,9,1,0,20141029,DEN,DET
11,Shot Chart Detail,0021400011,63,202702,Kenneth Faried,1610612743,Denver Nuggets,1,5,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20141029,DEN,DET
12,Shot Chart Detail,0021400011,78,201951,Ty Lawson,1610612743,Denver Nuggets,1,4,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,0,20141029,DEN,DET
13,Shot Chart Detail,0021400011,88,201167,Arron Afflalo,1610612743,Denver Nuggets,1,4,1,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,71,1,1,20141029,DEN,DET
14,Shot Chart Detail,0021400011,96,203994,Jusuf Nurkic,1610612743,Denver Nuggets,1,3,26,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,6,1,1,20141029,DEN,DET
15,Shot Chart Detail,0021400011,105,203994,Jusuf Nurkic,1610612743,Denver Nuggets,1,2,56,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,4,1,0,20141029,DEN,DET
16,Shot Chart Detail,0021400011,109,201163,Wilson Chandler,1610612743,Denver Nuggets,1,2,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-146,213,1,1,20141029,DEN,DET
17,Shot Chart Detail,0021400011,113,201589,Darrell Arthur,1610612743,Denver Nuggets,1,2,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-89,178,1,0,20141029,DEN,DET
18,Shot Chart Detail,0021400011,116,201167,Arron Afflalo,1610612743,Denver Nuggets,1,1,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20141029,DEN,DET
19,Shot Chart Detail,0021400011,130,201589,Darrell Arthur,1610612743,Denver Nuggets,1,0,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,219,1,0,20141029,DEN,DET
20,Shot Chart Detail,0021400011,133,200751,Randy Foye,1610612743,Denver Nuggets,1,0,4,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,185,-3,1,0,20141029,DEN,DET
21,Shot Chart Detail,0021400011,138,201589,Darrell Arthur,1610612743,Denver Nuggets,2,11,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-71,195,1,0,20141029,DEN,DET
22,Shot Chart Detail,0021400011,141,201163,Wilson Chandler,1610612743,Denver Nuggets,2,11,17,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-3,1,0,20141029,DEN,DET
23,Shot Chart Detail,0021400011,148,101126,Nate Robinson,1610612743,Denver Nuggets,2,10,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,0,20141029,DEN,DET
24,Shot Chart Detail,0021400011,154,200751,Randy Foye,1610612743,Denver Nuggets,2,10,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,36,214,1,1,20141029,DEN,DET
25,Shot Chart Detail,0021400011,156,201580,JaVale McGee,1610612743,Denver Nuggets,2,9,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1,20141029,DEN,DET
26,Shot Chart Detail,0021400011,158,201589,Darrell Arthur,1610612743,Denver Nuggets,2,8,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,89,1,1,20141029,DEN,DET
27,Shot Chart Detail,0021400011,169,101126,Nate Robinson,1610612743,Denver Nuggets,2,8,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,21,175,1,0,20141029,DEN,DET
28,Shot Chart Detail,0021400011,180,101126,Nate Robinson,1610612743,Denver Nuggets,2,7,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,0,1,1,20141029,DEN,DET
29,Shot Chart Detail,0021400011,196,101126,Nate Robinson,1610612743,Denver Nuggets,2,6,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-204,138,1,0,20141029,DEN,DET
30,Shot Chart Detail,0021400011,203,201163,Wilson Chandler,1610612743,Denver Nuggets,2,5,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-202,164,1,0,20141029,DEN,DET
31,Shot Chart Detail,0021400011,216,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,4,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,178,1,0,20141029,DEN,DET
32,Shot Chart Detail,0021400011,218,202702,Kenneth Faried,1610612743,Denver Nuggets,2,4,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20141029,DEN,DET
33,Shot Chart Detail,0021400011,221,202702,Kenneth Faried,1610612743,Denver Nuggets,2,3,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,0,20141029,DEN,DET
34,Shot Chart Detail,0021400011,223,201167,Arron Afflalo,1610612743,Denver Nuggets,2,3,42,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,181,34,1,0,20141029,DEN,DET
35,Shot Chart Detail,0021400011,229,202702,Kenneth Faried,1610612743,Denver Nuggets,2,3,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-76,159,1,0,20141029,DEN,DET
36,Shot Chart Detail,0021400011,235,202389,Timofey Mozgov,1610612743,Denver Nuggets,2,2,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141029,DEN,DET
37,Shot Chart Detail,0021400011,249,201167,Arron Afflalo,1610612743,Denver Nuggets,2,1,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,155,208,1,0,20141029,DEN,DET
38,Shot Chart Detail,0021400011,258,202702,Kenneth Faried,1610612743,Denver Nuggets,2,1,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,78,168,1,1,20141029,DEN,DET
39,Shot Chart Detail,0021400011,262,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,0,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-182,28,1,0,20141029,DEN,DET
40,Shot Chart Detail,0021400011,265,201951,Ty Lawson,1610612743,Denver Nuggets,2,0,6,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-67,159,1,1,20141029,DEN,DET
41,Shot Chart Detail,0021400011,271,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,11,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-160,200,1,0,20141029,DEN,DET
42,Shot Chart Detail,0021400011,275,202702,Kenneth Faried,1610612743,Denver Nuggets,3,11,19,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,56,1,0,20141029,DEN,DET
43,Shot Chart Detail,0021400011,280,201167,Arron Afflalo,1610612743,Denver Nuggets,3,10,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,15,123,1,1,20141029,DEN,DET
44,Shot Chart Detail,0021400011,287,202389,Timofey Mozgov,1610612743,Denver Nuggets,3,9,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,149,53,1,0,20141029,DEN,DET
45,Shot Chart Detail,0021400011,292,201951,Ty Lawson,1610612743,Denver Nuggets,3,9,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,20,1,0,20141029,DEN,DET
46,Shot Chart Detail,0021400011,293,202702,Kenneth Faried,1610612743,Denver Nuggets,3,9,26,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141029,DEN,DET
47,Shot Chart Detail,0021400011,298,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,8,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,26,1,0,20141029,DEN,DET
48,Shot Chart Detail,0021400011,300,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,8,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,20,1,0,20141029,DEN,DET
49,Shot Chart Detail,0021400011,304,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,8,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,157,1,1,20141029,DEN,DET
50,Shot Chart Detail,0021400011,317,202702,Kenneth Faried,1610612743,Denver Nuggets,3,7,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,145,1,1,20141029,DEN,DET
51,Shot Chart Detail,0021400011,319,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,6,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,164,1,0,20141029,DEN,DET
52,Shot Chart Detail,0021400011,334,201167,Arron Afflalo,1610612743,Denver Nuggets,3,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,205,1,1,20141029,DEN,DET
53,Shot Chart Detail,0021400011,340,201589,Darrell Arthur,1610612743,Denver Nuggets,3,5,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,15,189,1,0,20141029,DEN,DET
54,Shot Chart Detail,0021400011,346,201163,Wilson Chandler,1610612743,Denver Nuggets,3,4,41,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20141029,DEN,DET
55,Shot Chart Detail,0021400011,353,203994,Jusuf Nurkic,1610612743,Denver Nuggets,3,4,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,1,1,0,20141029,DEN,DET
56,Shot Chart Detail,0021400011,354,203994,Jusuf Nurkic,1610612743,Denver Nuggets,3,4,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,1,20141029,DEN,DET
57,Shot Chart Detail,0021400011,359,201167,Arron Afflalo,1610612743,Denver Nuggets,3,3,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,239,47,1,1,20141029,DEN,DET
58,Shot Chart Detail,0021400011,363,201167,Arron Afflalo,1610612743,Denver Nuggets,3,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-158,132,1,1,20141029,DEN,DET
59,Shot Chart Detail,0021400011,382,201951,Ty Lawson,1610612743,Denver Nuggets,3,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-187,176,1,0,20141029,DEN,DET
60,Shot Chart Detail,0021400011,390,201167,Arron Afflalo,1610612743,Denver Nuggets,3,1,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,205,1,0,20141029,DEN,DET
61,Shot Chart Detail,0021400011,393,201167,Arron Afflalo,1610612743,Denver Nuggets,3,0,52,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,3,1,0,20141029,DEN,DET
