,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021500010,6,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,11,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-214,18,1,0,20151028,HOU,DEN
1,Shot Chart Detail,0021500010,10,203914,Gary Harris,1610612743,Denver Nuggets,1,10,59,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
2,Shot Chart Detail,0021500010,13,203914,Gary Harris,1610612743,Denver Nuggets,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,13,1,0,20151028,HOU,DEN
3,Shot Chart Detail,0021500010,17,202702,Kenneth Faried,1610612743,Denver Nuggets,1,10,12,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20151028,HOU,DEN
4,Shot Chart Detail,0021500010,22,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,32,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
5,Shot Chart Detail,0021500010,29,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,8,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,37,223,1,0,20151028,HOU,DEN
6,Shot Chart Detail,0021500010,31,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,8,57,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,3,1,1,20151028,HOU,DEN
7,Shot Chart Detail,0021500010,38,202702,Kenneth Faried,1610612743,Denver Nuggets,1,8,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
8,Shot Chart Detail,0021500010,59,202702,Kenneth Faried,1610612743,Denver Nuggets,1,6,42,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,28,97,1,1,20151028,HOU,DEN
9,Shot Chart Detail,0021500010,64,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,6,18,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20151028,HOU,DEN
10,Shot Chart Detail,0021500010,74,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,5,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,0,20151028,HOU,DEN
11,Shot Chart Detail,0021500010,81,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,4,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-228,124,1,1,20151028,HOU,DEN
12,Shot Chart Detail,0021500010,84,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,1,4,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-110,105,1,1,20151028,HOU,DEN
13,Shot Chart Detail,0021500010,100,203914,Gary Harris,1610612743,Denver Nuggets,1,3,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,57,1,1,20151028,HOU,DEN
14,Shot Chart Detail,0021500010,108,203115,Will Barton,1610612743,Denver Nuggets,1,2,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-143,174,1,0,20151028,HOU,DEN
15,Shot Chart Detail,0021500010,112,2749,Jameer Nelson,1610612743,Denver Nuggets,1,2,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,175,1,0,20151028,HOU,DEN
16,Shot Chart Detail,0021500010,113,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,2,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20151028,HOU,DEN
17,Shot Chart Detail,0021500010,123,200751,Randy Foye,1610612743,Denver Nuggets,1,1,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,239,1,0,20151028,HOU,DEN
18,Shot Chart Detail,0021500010,125,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,1,19,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,31,1,0,20151028,HOU,DEN
19,Shot Chart Detail,0021500010,128,203115,Will Barton,1610612743,Denver Nuggets,1,0,52,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
20,Shot Chart Detail,0021500010,132,201589,Darrell Arthur,1610612743,Denver Nuggets,1,0,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,0,20151028,HOU,DEN
21,Shot Chart Detail,0021500010,137,2749,Jameer Nelson,1610612743,Denver Nuggets,2,11,46,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,-1,1,1,20151028,HOU,DEN
22,Shot Chart Detail,0021500010,141,203115,Will Barton,1610612743,Denver Nuggets,2,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-12,249,1,0,20151028,HOU,DEN
23,Shot Chart Detail,0021500010,154,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,9,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-55,154,1,0,20151028,HOU,DEN
24,Shot Chart Detail,0021500010,155,201589,Darrell Arthur,1610612743,Denver Nuggets,2,9,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,0,20151028,HOU,DEN
25,Shot Chart Detail,0021500010,161,201589,Darrell Arthur,1610612743,Denver Nuggets,2,9,0,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,16,1,1,20151028,HOU,DEN
26,Shot Chart Detail,0021500010,167,201589,Darrell Arthur,1610612743,Denver Nuggets,2,8,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,2,1,1,20151028,HOU,DEN
27,Shot Chart Detail,0021500010,170,200751,Randy Foye,1610612743,Denver Nuggets,2,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-156,214,1,0,20151028,HOU,DEN
28,Shot Chart Detail,0021500010,173,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,7,51,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,224,1,0,20151028,HOU,DEN
29,Shot Chart Detail,0021500010,184,203914,Gary Harris,1610612743,Denver Nuggets,2,6,38,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,42,218,1,0,20151028,HOU,DEN
30,Shot Chart Detail,0021500010,197,202702,Kenneth Faried,1610612743,Denver Nuggets,2,5,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-99,92,1,1,20151028,HOU,DEN
31,Shot Chart Detail,0021500010,206,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,5,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-115,116,1,0,20151028,HOU,DEN
32,Shot Chart Detail,0021500010,213,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,4,27,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-71,61,1,0,20151028,HOU,DEN
33,Shot Chart Detail,0021500010,220,202702,Kenneth Faried,1610612743,Denver Nuggets,2,3,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,0,20151028,HOU,DEN
34,Shot Chart Detail,0021500010,224,202702,Kenneth Faried,1610612743,Denver Nuggets,2,3,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
35,Shot Chart Detail,0021500010,233,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,2,3,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-19,252,1,1,20151028,HOU,DEN
36,Shot Chart Detail,0021500010,235,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,2,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,223,1,1,20151028,HOU,DEN
37,Shot Chart Detail,0021500010,244,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,1,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,186,110,1,1,20151028,HOU,DEN
38,Shot Chart Detail,0021500010,252,200751,Randy Foye,1610612743,Denver Nuggets,2,0,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,1,20151028,HOU,DEN
39,Shot Chart Detail,0021500010,254,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,0,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,26,1,1,20151028,HOU,DEN
40,Shot Chart Detail,0021500010,269,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,10,53,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
41,Shot Chart Detail,0021500010,273,202702,Kenneth Faried,1610612743,Denver Nuggets,3,10,20,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,84,16,1,1,20151028,HOU,DEN
42,Shot Chart Detail,0021500010,278,202702,Kenneth Faried,1610612743,Denver Nuggets,3,9,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151028,HOU,DEN
43,Shot Chart Detail,0021500010,281,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,9,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-32,257,1,0,20151028,HOU,DEN
44,Shot Chart Detail,0021500010,288,203914,Gary Harris,1610612743,Denver Nuggets,3,8,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,71,183,1,0,20151028,HOU,DEN
45,Shot Chart Detail,0021500010,292,203530,Joffrey Lauvergne,1610612743,Denver Nuggets,3,8,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,47,1,0,20151028,HOU,DEN
46,Shot Chart Detail,0021500010,302,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,3,7,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,56,1,1,20151028,HOU,DEN
47,Shot Chart Detail,0021500010,311,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,6,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,176,124,1,0,20151028,HOU,DEN
48,Shot Chart Detail,0021500010,313,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,6,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,146,1,0,20151028,HOU,DEN
49,Shot Chart Detail,0021500010,340,2749,Jameer Nelson,1610612743,Denver Nuggets,3,4,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,74,237,1,0,20151028,HOU,DEN
