,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021600010,15,203999,Nikola Jokic,1610612743,Denver Nuggets,1,10,32,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,19,70,1,0,20161026,NOP,DEN
1,Shot Chart Detail,0021600010,22,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,11,1,0,20161026,NOP,DEN
2,Shot Chart Detail,0021600010,29,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,195,1,1,20161026,NOP,DEN
3,Shot Chart Detail,0021600010,31,203994,Jusuf Nurkic,1610612743,Denver Nuggets,1,8,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20161026,NOP,DEN
4,Shot Chart Detail,0021600010,37,203994,Jusuf Nurkic,1610612743,Denver Nuggets,1,7,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,0,20161026,NOP,DEN
5,Shot Chart Detail,0021600010,38,203994,Jusuf Nurkic,1610612743,Denver Nuggets,1,7,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20161026,NOP,DEN
6,Shot Chart Detail,0021600010,42,203999,Nikola Jokic,1610612743,Denver Nuggets,1,7,28,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-84,33,1,1,20161026,NOP,DEN
7,Shot Chart Detail,0021600010,44,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,7,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,132,31,1,0,20161026,NOP,DEN
8,Shot Chart Detail,0021600010,66,203999,Nikola Jokic,1610612743,Denver Nuggets,1,5,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,33,249,1,1,20161026,NOP,DEN
9,Shot Chart Detail,0021600010,73,203115,Will Barton,1610612743,Denver Nuggets,1,4,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,159,95,1,0,20161026,NOP,DEN
10,Shot Chart Detail,0021600010,81,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,4,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,1,20161026,NOP,DEN
11,Shot Chart Detail,0021600010,88,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,3,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,43,1,1,20161026,NOP,DEN
12,Shot Chart Detail,0021600010,102,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,2,59,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,16,1,1,20161026,NOP,DEN
13,Shot Chart Detail,0021600010,131,201163,Wilson Chandler,1610612743,Denver Nuggets,1,1,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26,1,1,20161026,NOP,DEN
14,Shot Chart Detail,0021600010,136,2749,Jameer Nelson,1610612743,Denver Nuggets,1,1,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-61,234,1,0,20161026,NOP,DEN
15,Shot Chart Detail,0021600010,140,201163,Wilson Chandler,1610612743,Denver Nuggets,1,0,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,10,205,1,0,20161026,NOP,DEN
16,Shot Chart Detail,0021600010,147,201163,Wilson Chandler,1610612743,Denver Nuggets,1,0,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,1,20161026,NOP,DEN
17,Shot Chart Detail,0021600010,150,1627750,Jamal Murray,1610612743,Denver Nuggets,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-56,198,1,0,20161026,NOP,DEN
18,Shot Chart Detail,0021600010,156,203994,Jusuf Nurkic,1610612743,Denver Nuggets,2,11,28,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,72,1,1,20161026,NOP,DEN
19,Shot Chart Detail,0021600010,158,201163,Wilson Chandler,1610612743,Denver Nuggets,2,11,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-27,75,1,0,20161026,NOP,DEN
20,Shot Chart Detail,0021600010,162,2749,Jameer Nelson,1610612743,Denver Nuggets,2,10,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,9,159,1,1,20161026,NOP,DEN
21,Shot Chart Detail,0021600010,174,2749,Jameer Nelson,1610612743,Denver Nuggets,2,9,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-48,242,1,1,20161026,NOP,DEN
22,Shot Chart Detail,0021600010,178,2749,Jameer Nelson,1610612743,Denver Nuggets,2,9,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,1,20161026,NOP,DEN
23,Shot Chart Detail,0021600010,181,2749,Jameer Nelson,1610612743,Denver Nuggets,2,9,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,46,106,1,1,20161026,NOP,DEN
24,Shot Chart Detail,0021600010,197,203994,Jusuf Nurkic,1610612743,Denver Nuggets,2,8,9,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,NOP,DEN
25,Shot Chart Detail,0021600010,210,203994,Jusuf Nurkic,1610612743,Denver Nuggets,2,7,16,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,81,43,1,0,20161026,NOP,DEN
26,Shot Chart Detail,0021600010,214,203994,Jusuf Nurkic,1610612743,Denver Nuggets,2,6,46,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,16,1,1,20161026,NOP,DEN
27,Shot Chart Detail,0021600010,222,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,6,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-181,188,1,1,20161026,NOP,DEN
28,Shot Chart Detail,0021600010,236,203994,Jusuf Nurkic,1610612743,Denver Nuggets,2,5,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,0,20161026,NOP,DEN
29,Shot Chart Detail,0021600010,245,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,4,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,0,20161026,NOP,DEN
30,Shot Chart Detail,0021600010,246,203994,Jusuf Nurkic,1610612743,Denver Nuggets,2,4,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,12,28,1,1,20161026,NOP,DEN
31,Shot Chart Detail,0021600010,254,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,3,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,198,1,0,20161026,NOP,DEN
32,Shot Chart Detail,0021600010,264,203115,Will Barton,1610612743,Denver Nuggets,2,3,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-110,224,1,1,20161026,NOP,DEN
33,Shot Chart Detail,0021600010,276,203999,Nikola Jokic,1610612743,Denver Nuggets,2,2,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,17,174,1,0,20161026,NOP,DEN
34,Shot Chart Detail,0021600010,278,203115,Will Barton,1610612743,Denver Nuggets,2,2,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,11,1,1,20161026,NOP,DEN
35,Shot Chart Detail,0021600010,288,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,1,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,0,20161026,NOP,DEN
36,Shot Chart Detail,0021600010,297,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,1,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-137,213,1,0,20161026,NOP,DEN
37,Shot Chart Detail,0021600010,317,202702,Kenneth Faried,1610612743,Denver Nuggets,2,0,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,0,20161026,NOP,DEN
38,Shot Chart Detail,0021600010,320,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-148,23,1,0,20161026,NOP,DEN
39,Shot Chart Detail,0021600010,329,203115,Will Barton,1610612743,Denver Nuggets,3,11,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-84,70,1,0,20161026,NOP,DEN
40,Shot Chart Detail,0021600010,336,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,3,10,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,127,26,1,0,20161026,NOP,DEN
41,Shot Chart Detail,0021600010,344,203994,Jusuf Nurkic,1610612743,Denver Nuggets,3,9,50,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,51,1,0,20161026,NOP,DEN
42,Shot Chart Detail,0021600010,352,203994,Jusuf Nurkic,1610612743,Denver Nuggets,3,9,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20161026,NOP,DEN
43,Shot Chart Detail,0021600010,355,203115,Will Barton,1610612743,Denver Nuggets,3,8,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,11,1,0,20161026,NOP,DEN
44,Shot Chart Detail,0021600010,356,203994,Jusuf Nurkic,1610612743,Denver Nuggets,3,8,53,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20161026,NOP,DEN
45,Shot Chart Detail,0021600010,369,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,8,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,97,229,1,1,20161026,NOP,DEN
46,Shot Chart Detail,0021600010,373,203115,Will Barton,1610612743,Denver Nuggets,3,7,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20161026,NOP,DEN
47,Shot Chart Detail,0021600010,382,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,7,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,21,1,0,20161026,NOP,DEN
48,Shot Chart Detail,0021600010,396,203115,Will Barton,1610612743,Denver Nuggets,3,6,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,137,214,1,0,20161026,NOP,DEN
49,Shot Chart Detail,0021600010,399,203115,Will Barton,1610612743,Denver Nuggets,3,6,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-115,121,1,1,20161026,NOP,DEN
50,Shot Chart Detail,0021600010,404,201163,Wilson Chandler,1610612743,Denver Nuggets,3,5,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-52,249,1,0,20161026,NOP,DEN
