,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021200003,2,1882,Elton Brand,1610612742,Dallas Mavericks,1,11,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-171,75,1,0,20121030,LAL,DAL
1,Shot Chart Detail,0021200003,6,201954,Darren Collison,1610612742,Dallas Mavericks,1,11,11,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,48,1,0,20121030,LAL,DAL
2,Shot Chart Detail,0021200003,8,1882,Elton Brand,1610612742,Dallas Mavericks,1,11,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-68,9,1,0,20121030,LAL,DAL
3,Shot Chart Detail,0021200003,13,201564,O.J. Mayo,1610612742,Dallas Mavericks,1,10,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-14,1,1,20121030,LAL,DAL
4,Shot Chart Detail,0021200003,15,1890,Shawn Marion,1610612742,Dallas Mavericks,1,10,3,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-105,45,1,0,20121030,LAL,DAL
5,Shot Chart Detail,0021200003,22,201954,Darren Collison,1610612742,Dallas Mavericks,1,9,28,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,7,1,1,20121030,LAL,DAL
6,Shot Chart Detail,0021200003,25,1882,Elton Brand,1610612742,Dallas Mavericks,1,8,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,28,1,0,20121030,LAL,DAL
7,Shot Chart Detail,0021200003,31,201954,Darren Collison,1610612742,Dallas Mavericks,1,8,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,17,1,0,20121030,LAL,DAL
8,Shot Chart Detail,0021200003,40,201148,Brandan Wright,1610612742,Dallas Mavericks,1,7,25,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,4,1,1,20121030,LAL,DAL
9,Shot Chart Detail,0021200003,42,201954,Darren Collison,1610612742,Dallas Mavericks,1,7,0,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,15,1,1,20121030,LAL,DAL
10,Shot Chart Detail,0021200003,46,201148,Brandan Wright,1610612742,Dallas Mavericks,1,6,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,17,1,1,20121030,LAL,DAL
