,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021400002,4,2199,Tyson Chandler,1610612742,Dallas Mavericks,1,11,32,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,0,20141028,SAS,DAL
1,Shot Chart Detail,0021400002,11,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,10,46,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,42,104,1,0,20141028,SAS,DAL
2,Shot Chart Detail,0021400002,13,2749,Jameer Nelson,1610612742,Dallas Mavericks,1,10,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-15,255,1,0,20141028,SAS,DAL
3,Shot Chart Detail,0021400002,16,101145,Monta Ellis,1610612742,Dallas Mavericks,1,9,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,100,167,1,1,20141028,SAS,DAL
4,Shot Chart Detail,0021400002,18,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,9,19,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20141028,SAS,DAL
5,Shot Chart Detail,0021400002,21,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,8,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-105,58,1,0,20141028,SAS,DAL
6,Shot Chart Detail,0021400002,24,101145,Monta Ellis,1610612742,Dallas Mavericks,1,8,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,237,102,1,0,20141028,SAS,DAL
7,Shot Chart Detail,0021400002,28,101145,Monta Ellis,1610612742,Dallas Mavericks,1,8,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,0,20141028,SAS,DAL
8,Shot Chart Detail,0021400002,31,2199,Tyson Chandler,1610612742,Dallas Mavericks,1,8,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,7,1,0,20141028,SAS,DAL
9,Shot Chart Detail,0021400002,33,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,7,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-147,48,1,1,20141028,SAS,DAL
