,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021600005,3,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,11,29,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,-11,1,0,20161026,IND,DAL
1,Shot Chart Detail,0021600005,10,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,10,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-16,1,1,20161026,IND,DAL
2,Shot Chart Detail,0021600005,15,101114,Deron Williams,1610612742,Dallas Mavericks,1,10,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,52,1,0,20161026,IND,DAL
3,Shot Chart Detail,0021600005,19,101106,Andrew Bogut,1610612742,Dallas Mavericks,1,9,34,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-88,16,1,0,20161026,IND,DAL
4,Shot Chart Detail,0021600005,23,101106,Andrew Bogut,1610612742,Dallas Mavericks,1,9,10,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-48,38,1,1,20161026,IND,DAL
5,Shot Chart Detail,0021600005,32,101106,Andrew Bogut,1610612742,Dallas Mavericks,1,8,14,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,16,1,1,20161026,IND,DAL
6,Shot Chart Detail,0021600005,34,202083,Wesley Matthews,1610612742,Dallas Mavericks,1,7,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,63,165,1,0,20161026,IND,DAL
7,Shot Chart Detail,0021600005,35,101106,Andrew Bogut,1610612742,Dallas Mavericks,1,7,42,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,0,20161026,IND,DAL
8,Shot Chart Detail,0021600005,39,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,7,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,183,1,0,20161026,IND,DAL
9,Shot Chart Detail,0021600005,46,101114,Deron Williams,1610612742,Dallas Mavericks,1,6,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-145,223,1,1,20161026,IND,DAL
10,Shot Chart Detail,0021600005,52,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,6,16,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,3,1,0,20161026,IND,DAL
11,Shot Chart Detail,0021600005,56,202083,Wesley Matthews,1610612742,Dallas Mavericks,1,5,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-12,267,1,0,20161026,IND,DAL
