,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0021000012,4,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,11,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,1,1,1,20101027,DAL,CHA
1,Shot Chart Detail,0021000012,7,2406,Caron Butler,1610612742,Dallas Mavericks,1,10,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-193,9,1,1,20101027,DAL,CHA
2,Shot Chart Detail,0021000012,10,2406,Caron Butler,1610612742,Dallas Mavericks,1,10,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-149,121,1,0,20101027,DAL,CHA
3,Shot Chart Detail,0021000012,14,2199,Tyson Chandler,1610612742,Dallas Mavericks,1,9,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,25,1,0,20101027,DAL,CHA
4,Shot Chart Detail,0021000012,17,2406,Caron Butler,1610612742,Dallas Mavericks,1,9,40,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,9,1,1,20101027,DAL,CHA
5,Shot Chart Detail,0021000012,19,467,Jason Kidd,1610612742,Dallas Mavericks,1,9,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,12,1,1,20101027,DAL,CHA
6,Shot Chart Detail,0021000012,25,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,8,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,64,124,1,1,20101027,DAL,CHA
7,Shot Chart Detail,0021000012,27,2406,Caron Butler,1610612742,Dallas Mavericks,1,8,7,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,0,20101027,DAL,CHA
8,Shot Chart Detail,0021000012,30,1891,Jason Terry,1610612742,Dallas Mavericks,1,7,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-150,189,1,1,20101027,DAL,CHA
9,Shot Chart Detail,0021000012,34,467,Jason Kidd,1610612742,Dallas Mavericks,1,7,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,65,238,1,1,20101027,DAL,CHA
10,Shot Chart Detail,0021000012,40,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,6,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,10,198,1,1,20101027,DAL,CHA
11,Shot Chart Detail,0021000012,54,2406,Caron Butler,1610612742,Dallas Mavericks,1,5,24,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-60,165,1,1,20101027,DAL,CHA
12,Shot Chart Detail,0021000012,56,1891,Jason Terry,1610612742,Dallas Mavericks,1,5,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,8,1,1,20101027,DAL,CHA
13,Shot Chart Detail,0021000012,60,2406,Caron Butler,1610612742,Dallas Mavericks,1,4,9,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,19,1,0,20101027,DAL,CHA
