,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0020500002,2,2030,Kenyon Martin,1610612743,Denver Nuggets,1,11,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-113,23,1,1,20051101,SAS,DEN
1,Shot Chart Detail,0020500002,7,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,11,7,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,2,1,1,20051101,SAS,DEN
2,Shot Chart Detail,0020500002,11,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,10,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20051101,SAS,DEN
3,Shot Chart Detail,0020500002,14,702,Voshon Lenard,1610612743,Denver Nuggets,1,10,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,181,132,1,0,20051101,SAS,DEN
4,Shot Chart Detail,0020500002,17,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,9,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,5,1,1,20051101,SAS,DEN
5,Shot Chart Detail,0020500002,20,2030,Kenyon Martin,1610612743,Denver Nuggets,1,9,30,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,0,20051101,SAS,DEN
6,Shot Chart Detail,0020500002,26,2030,Kenyon Martin,1610612743,Denver Nuggets,1,9,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-85,71,1,1,20051101,SAS,DEN
7,Shot Chart Detail,0020500002,32,948,Marcus Camby,1610612743,Denver Nuggets,1,7,47,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-77,5,1,0,20051101,SAS,DEN
8,Shot Chart Detail,0020500002,35,1889,Andre Miller,1610612743,Denver Nuggets,1,7,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,135,118,1,1,20051101,SAS,DEN
9,Shot Chart Detail,0020500002,37,2030,Kenyon Martin,1610612743,Denver Nuggets,1,6,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,8,1,0,20051101,SAS,DEN
10,Shot Chart Detail,0020500002,41,1889,Andre Miller,1610612743,Denver Nuggets,1,6,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,5,1,1,20051101,SAS,DEN
11,Shot Chart Detail,0020500002,44,1889,Andre Miller,1610612743,Denver Nuggets,1,6,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-164,49,1,1,20051101,SAS,DEN
12,Shot Chart Detail,0020500002,52,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,5,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,167,30,1,0,20051101,SAS,DEN
13,Shot Chart Detail,0020500002,55,948,Marcus Camby,1610612743,Denver Nuggets,1,4,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-41,191,1,0,20051101,SAS,DEN
14,Shot Chart Detail,0020500002,69,2403,Nene,1610612743,Denver Nuggets,1,3,43,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,17,1,0,20051101,SAS,DEN
15,Shot Chart Detail,0020500002,76,948,Marcus Camby,1610612743,Denver Nuggets,1,3,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-138,104,1,1,20051101,SAS,DEN
16,Shot Chart Detail,0020500002,84,1863,Earl Boykins,1610612743,Denver Nuggets,1,2,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,102,122,1,0,20051101,SAS,DEN
17,Shot Chart Detail,0020500002,88,948,Marcus Camby,1610612743,Denver Nuggets,1,1,44,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,56,1,0,20051101,SAS,DEN
18,Shot Chart Detail,0020500002,95,1761,Greg Buckner,1610612743,Denver Nuggets,1,1,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,218,123,1,0,20051101,SAS,DEN
19,Shot Chart Detail,0020500002,98,1863,Earl Boykins,1610612743,Denver Nuggets,1,0,40,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,94,56,1,1,20051101,SAS,DEN
20,Shot Chart Detail,0020500002,101,1863,Earl Boykins,1610612743,Denver Nuggets,1,0,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-3,48,1,0,20051101,SAS,DEN
21,Shot Chart Detail,0020500002,109,1889,Andre Miller,1610612743,Denver Nuggets,2,11,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,77,166,1,1,20051101,SAS,DEN
22,Shot Chart Detail,0020500002,111,2059,Eduardo Najera,1610612743,Denver Nuggets,2,10,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,121,145,1,1,20051101,SAS,DEN
23,Shot Chart Detail,0020500002,114,1863,Earl Boykins,1610612743,Denver Nuggets,2,10,19,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,8,1,1,20051101,SAS,DEN
24,Shot Chart Detail,0020500002,122,2059,Eduardo Najera,1610612743,Denver Nuggets,2,9,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,7,1,1,20051101,SAS,DEN
25,Shot Chart Detail,0020500002,126,2030,Kenyon Martin,1610612743,Denver Nuggets,2,8,59,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,45,1,0,20051101,SAS,DEN
26,Shot Chart Detail,0020500002,128,2059,Eduardo Najera,1610612743,Denver Nuggets,2,8,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,23,1,0,20051101,SAS,DEN
27,Shot Chart Detail,0020500002,133,1863,Earl Boykins,1610612743,Denver Nuggets,2,8,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-145,0,1,1,20051101,SAS,DEN
28,Shot Chart Detail,0020500002,140,2030,Kenyon Martin,1610612743,Denver Nuggets,2,7,41,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20051101,SAS,DEN
29,Shot Chart Detail,0020500002,145,2030,Kenyon Martin,1610612743,Denver Nuggets,2,6,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,0,20051101,SAS,DEN
30,Shot Chart Detail,0020500002,150,1863,Earl Boykins,1610612743,Denver Nuggets,2,6,32,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,-6,1,1,20051101,SAS,DEN
31,Shot Chart Detail,0020500002,153,2059,Eduardo Najera,1610612743,Denver Nuggets,2,5,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,135,155,1,0,20051101,SAS,DEN
32,Shot Chart Detail,0020500002,165,1863,Earl Boykins,1610612743,Denver Nuggets,2,5,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-117,122,1,1,20051101,SAS,DEN
33,Shot Chart Detail,0020500002,168,1863,Earl Boykins,1610612743,Denver Nuggets,2,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-214,138,1,0,20051101,SAS,DEN
34,Shot Chart Detail,0020500002,173,1889,Andre Miller,1610612743,Denver Nuggets,2,4,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-62,135,1,0,20051101,SAS,DEN
35,Shot Chart Detail,0020500002,175,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,4,22,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,35,1,0,20051101,SAS,DEN
36,Shot Chart Detail,0020500002,178,702,Voshon Lenard,1610612743,Denver Nuggets,2,4,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,138,77,1,1,20051101,SAS,DEN
37,Shot Chart Detail,0020500002,182,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,3,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20051101,SAS,DEN
38,Shot Chart Detail,0020500002,201,702,Voshon Lenard,1610612743,Denver Nuggets,2,1,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,166,132,1,1,20051101,SAS,DEN
39,Shot Chart Detail,0020500002,204,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,1,20,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-3,20,1,0,20051101,SAS,DEN
40,Shot Chart Detail,0020500002,205,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,1,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,13,1,0,20051101,SAS,DEN
41,Shot Chart Detail,0020500002,214,702,Voshon Lenard,1610612743,Denver Nuggets,2,0,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,10,1,0,20051101,SAS,DEN
42,Shot Chart Detail,0020500002,216,702,Voshon Lenard,1610612743,Denver Nuggets,2,0,36,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,7,1,0,20051101,SAS,DEN
43,Shot Chart Detail,0020500002,217,948,Marcus Camby,1610612743,Denver Nuggets,2,0,35,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,2,1,1,20051101,SAS,DEN
44,Shot Chart Detail,0020500002,221,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,0,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-46,243,1,0,20051101,SAS,DEN
45,Shot Chart Detail,0020500002,232,2030,Kenyon Martin,1610612743,Denver Nuggets,3,11,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,5,1,1,20051101,SAS,DEN
46,Shot Chart Detail,0020500002,242,2030,Kenyon Martin,1610612743,Denver Nuggets,3,10,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,53,1,0,20051101,SAS,DEN
47,Shot Chart Detail,0020500002,243,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,10,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,0,20051101,SAS,DEN
48,Shot Chart Detail,0020500002,246,702,Voshon Lenard,1610612743,Denver Nuggets,3,10,11,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,54,1,1,20051101,SAS,DEN
49,Shot Chart Detail,0020500002,250,702,Voshon Lenard,1610612743,Denver Nuggets,3,9,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,41,115,1,1,20051101,SAS,DEN
50,Shot Chart Detail,0020500002,257,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,8,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,10,1,1,20051101,SAS,DEN
