,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0020600017,8,2747,JR Smith,1610612743,Denver Nuggets,1,11,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,133,229,1,0,20061102,LAC,DEN
1,Shot Chart Detail,0020600017,12,2030,Kenyon Martin,1610612743,Denver Nuggets,1,10,54,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061102,LAC,DEN
2,Shot Chart Detail,0020600017,15,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,10,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-8,183,1,0,20061102,LAC,DEN
3,Shot Chart Detail,0020600017,18,948,Marcus Camby,1610612743,Denver Nuggets,1,9,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,28,158,1,0,20061102,LAC,DEN
4,Shot Chart Detail,0020600017,22,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,9,27,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-54,64,1,1,20061102,LAC,DEN
5,Shot Chart Detail,0020600017,29,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,8,58,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061102,LAC,DEN
6,Shot Chart Detail,0020600017,33,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,8,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,41,209,1,0,20061102,LAC,DEN
7,Shot Chart Detail,0020600017,46,2747,JR Smith,1610612743,Denver Nuggets,1,7,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061102,LAC,DEN
8,Shot Chart Detail,0020600017,54,2030,Kenyon Martin,1610612743,Denver Nuggets,1,6,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,69,171,1,0,20061102,LAC,DEN
9,Shot Chart Detail,0020600017,63,948,Marcus Camby,1610612743,Denver Nuggets,1,5,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061102,LAC,DEN
10,Shot Chart Detail,0020600017,66,1889,Andre Miller,1610612743,Denver Nuggets,1,5,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20061102,LAC,DEN
11,Shot Chart Detail,0020600017,70,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,4,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,133,158,1,1,20061102,LAC,DEN
12,Shot Chart Detail,0020600017,72,2747,JR Smith,1610612743,Denver Nuggets,1,4,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061102,LAC,DEN
